Class,Start time,End time,Categories,rule,gym,
XTREME CARDIO(w/ PATRICK),7:30,8:20,"Cardio,Strength training","IceCube::Rule.weekly(1).day(1, 3)",Athlete annonymous,
CALISTHENICS - INTRO (w/ DOM),18:00,19:20,Strength training,IceCube::Rule.weekly(1).day(1),Athlete annonymous,
TRX CIRCUIT (w/ RONNIE),19:00,19:55,Strength training,IceCube::Rule.weekly(1).day(1),Athlete annonymous,
CALISTHENICS - INTRO/ADV (w/ DOM),19:20,20:55,Strength training,"IceCube::Rule.weekly(1).day(1, 3)",Athlete annonymous,
POLE - ALL LEVELS(w/ LAURA),20:00,21:15,"DANCE,Strength training",IceCube::Rule.weekly(1).day(1),Athlete annonymous,
A/A ABS CIRCUIT (w/ PATRICK),7:45,8:35,Strength training,"IceCube::Rule.weekly(1).day(2, 5)",Athlete annonymous,
POLE - ALL LEVELS(w/ LAURA),9:45,11:00,"DANCE,Strength training","IceCube::Rule.weekly(1).day(2, 4)",Athlete annonymous,
PILATES AND STRETCHING (w/ RANA),18:00,18:55,"Pilates,Strength training",IceCube::Rule.weekly(1).day(2),Athlete annonymous,
BRAZILIAN BUTT (w/ DIALA),19:00,19:55,Strength training,IceCube::Rule.weekly(1).day(2),Athlete annonymous,
BRAZILIAN BUTT (w/ DIALA),19:15,20:10,Strength training,IceCube::Rule.weekly(1).day(4),Athlete annonymous,
A/A CIRCUIT (w/ HAROUT),19:00,20:00,Strength training,IceCube::Rule.weekly(1).day(2),Athlete annonymous,
WALL CLIMBING - ALL LEVELS (w/ NIC),19:00,20:30,"Strength training,Climbing",IceCube::Rule.weekly(1).day(2),Athlete annonymous,
BOXING (w/ CHARBEL),20:00,21:25,"Strength training,Martial arts",IceCube::Rule.weekly(1).day(2),Athlete annonymous,
A/A CIRCUIT (w/ PATRICK),18:20,19:20,Strength training,IceCube::Rule.weekly(1).day(3),Athlete annonymous,
POLE - ALL LEVELS(w/ LAURA),18:30,19:45,"DANCE,Strength training",IceCube::Rule.weekly(1).day(3),Athlete annonymous,
VINYASA YOGA (w/ KHALED),20:00,21:25,Yoga,IceCube::Rule.weekly(1).day(3),Athlete annonymous,
POLE - BEGINNERS (w/ LAURA),18:00,19:10,"DANCE,Strength training",IceCube::Rule.weekly(1).day(4),Athlete annonymous,
CALISTHENICS - INTRO (w/ DOM),19:00,20:25,Strength training,IceCube::Rule.weekly(1).day(4),Athlete annonymous,
POLE - INTERMEDIATE (w/ LAURA),18:15,19:25,"DANCE,Strength training",IceCube::Rule.weekly(1).day(5),Athlete annonymous,
ATHLETICS (w/ DIALA),18:30,19:25,"Cardio,Strength training",IceCube::Rule.weekly(1).day(5),Athlete annonymous,
TRX CIRCUIT (w/ PATRICK),19:30,20:25,Strength training,IceCube::Rule.weekly(1).day(5),Athlete annonymous,
VINYASA YOGA (w/ KHALED),10:00,11:30,Yoga,IceCube::Rule.weekly(1).day(6),Athlete annonymous,
BOXING (w/ CHARBEL),11:30,13:00,"Strength training,Martial arts",IceCube::Rule.weekly(1).day(6),Athlete annonymous,
YOGA (w/ Sara),9:30,11:00,Yoga,IceCube::Rule.weekly(1).day(1),Gofit,
ZUMBA (w/ Nadine),18:00,19:00,"Cardio,Dance",IceCube::Rule.weekly(1).day(1),Gofit,
PILATES (w/ Iman),19:00,20:00,"Pilates,Strength training",IceCube::Rule.weekly(1).day(1),Gofit,
TOTAL FIT (w/ Omar),9:00,10:00,"Cardio,Strength training",IceCube::Rule.weekly(1).day(2),Gofit,
Stretching (w/ Manar),10:00,11:00,Yoga,IceCube::Rule.weekly(1).day(2),Gofit,
CORE OF STEEL (w/ Garo),18:00,18:45,Strength training,IceCube::Rule.weekly(1).day(2),Gofit,
TOTAL FIT (w/ Omar),18:45,19:45,"Cardio,Strength training",IceCube::Rule.weekly(1).day(2),Gofit,
FITNESS JUNKIES(w/ Nadim),10:00,11:00,"Cardio,Strength training",IceCube::Rule.weekly(1).day(3),Gofit,
BOXERCISE,18:00,19:00,"Strength training,Martial arts",IceCube::Rule.weekly(1).day(3),Gofit,
Yoga (w/ Samer),19:00,20:30,Yoga,IceCube::Rule.weekly(1).day(3),Gofit,
PILATES (w/ Hyam),10:00,11:00,"Pilates,Strength training",IceCube::Rule.weekly(1).day(4),Gofit,
FITNESS JUNKIES(w/ Nadim),18:00,19:00,"Cardio,Strength training",IceCube::Rule.weekly(1).day(4),Gofit,
Stretching (w/ Rana),19:00,20:00,Yoga,IceCube::Rule.weekly(1).day(4),Gofit,
Stretching (w/ Jorge),10:00,11:00,Yoga,IceCube::Rule.weekly(1).day(5),Gofit,
TOTAL FIT (w/ Omar),17:30,18:30,"Cardio,Strength training",IceCube::Rule.weekly(1).day(5),Gofit,
CORE OF STEEL (w/ Garo),18:30,19:00,Strength training,IceCube::Rule.weekly(1).day(5),Gofit,
BOOT CAMP (KIDS) (w/ Omar),11:00,11:40,Kids,IceCube::Rule.weekly(1).day(6),Gofit,
HIP HOP (Kids) (w/ Rana),11:40,12:40,Kids,IceCube::Rule.weekly(1).day(6),Gofit,
CORE POWER PILATES (w/ Rana),7:30,8:30,"Pilates,Strength training",IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
CYCLING (w/ Diana),8:30,9:30,Cardio,"IceCube::Rule.weekly(1).day(1, 4)",Lifestyles - Health Fitness and Beauty,
Body Weight Training (w/ Abed),9:30,10:15,"Cardio,Strength training",IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
CORE (w/ Abed),10:15,10:45,Strength training,IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
AQUA FIT (w/ Fadia),10:00,11:00,"Aerobic,Strength training","IceCube::Rule.weekly(1).day(1, 3)",Lifestyles - Health Fitness and Beauty,
BREATHE YOGA FLOW (w/ Lulia),11:15,12:45,Yoga,IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
LATIN DANCE (w/ Chloe),17:30,18:30,Dance,IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
LESMILLS RPM(w/ RPM),18:00,19:00,Cardio,IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
Power - Radical Fitness (w/ Mohamad),19:00,20:00,Strength training,"IceCube::Rule.weekly(1).day(1, 4)",Lifestyles - Health Fitness and Beauty,
AQUA FIT (w/ May),18:00,19:00,"Aerobic,Strength training",IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
YIN YOGA (w/ kaline),19:00,20:30,Yoga,IceCube::Rule.weekly(1).day(1),Lifestyles - Health Fitness and Beauty,
