Class,Start time,End time,Categories,rule,gym,price,level,description
YOGA (w/ Sara),09:30,11:00,Yoga,IceCube::Rule.weekly(1).day(1),Gofit,20,All levels,A gentle practice that helps connect the body and the breath while building strength and mobility. Deepen or begin your Yoga practice and leave class feeling better than when you arrived – body and mind!
ZUMBA (w/ Nadine),18:00,19:00,"Cardio,Dance",IceCube::Rule.weekly(1).day(1),Gofit,15,All levels,"Zumba is a fusion of Latin and International music/dance themes that create exciting dynamics. It is based on the principle that a workout should be ""Fun and easy to do!"" The routines feature aerobic fitness interval training with a combination of fast and slow rhythms that tone and sculpt the body."
PILATES (w/ Iman),19:00,20:00,"Pilates,Strength training",IceCube::Rule.weekly(1).day(1),Gofit,15,All levels,"Pilates class will work to balance all muscle groups' strength and flexibility, with an emphasis on challenging the core muscles with each movement. Pilates mat is a challenging yet safe method to sculpt your body and to feel increased agility in your every day movements."
TOTAL FIT (w/ Omar),09:00,10:00,"Cardio,Strength training",IceCube::Rule.weekly(1).day(2),Gofit,15,All levels,An energizing and enriching workout that hits all major muscles in the body leaving you with a refreshed soul and body
Stretching (w/ Manar),10:00,11:00,Yoga,IceCube::Rule.weekly(1).day(2),Gofit,15,All levels,"Stretching after you exercise keeps your muscles loose and relaxed; it improves athletic performance. When your joints and muscles are flexible, you use less energy while in motion, which improves your overall performance."
CORE OF STEEL (w/ Garo),18:00,18:30,Strength training,IceCube::Rule.weekly(1).day(2),Gofit,10,All levels,"Improve your posture and build core muscle groups through a variety of exercises designed to strengthen your abdomen and back muscles while increasing your flexibility. Walk taller, feel stronger. May include a variety of equipment."
TOTAL FIT (w/ Omar),18:30,19:30,"Cardio,Strength training",IceCube::Rule.weekly(1).day(2),Gofit,15,All levels,An energizing and enriching workout that hits all major muscles in the body leaving you with a refreshed soul and body
FITNESS JUNKIES(w/ Nadim),10:00,11:00,"Cardio,Strength training",IceCube::Rule.weekly(1).day(3),Gofit,15,All levels,"Fitness Junkies is a dynamic 50- minute workout that burns fat and tones muscle. Each of the class’ three blocks features a track focusing on abs (the BASE), weights (the BUILDER), and cardio (the BLASTER). By using the three Bs, you improve your overall fitness, feel empowered, and burn a whole lot of stress (and calories) along the way."
BOXERCISE,18:00,19:00,"Strength training,Martial arts",IceCube::Rule.weekly(1).day(3),Gofit,15,All levels,"Boxercise is an exercise class based on the training concepts boxers use to stay fit. Classes can take a variety of formats but a typical one may involve shadow-boxing, skipping, hitting pads, kicking punchbags, press-ups, shuttle-runs and sit-ups."
Yoga (w/ Samer),19:00,20:30,Yoga,IceCube::Rule.weekly(1).day(3),Gofit,20,All levels,A gentle practice that helps connect the body and the breath while building strength and mobility. Deepen or begin your Yoga practice and leave class feeling better than when you arrived – body and mind!
